string, ERegion
"紅蓮華", "TW"
"비올레타", "KR"
"광동", "KR"
"바밤바", "KR"
"밤바", "KR"
"미니폴", "KR"
"훈제계란", "KR"
"맛소금", "KR"
"미니선풍기", "KR"
"한라봉", "KR"
"ChatGPT", "US"
"딥마인드", "KR"
"DALLE", "US"
"오메가쓰리", "KR"
"루테인", "KR"
"하루야채", "KR"
"허쉬초콜릿", "KR"
"沉著的龍", "TW"
"自由的鳥", "TW"
"暗いオオカミ", "JP"
"混沌のドラゴン", "JP"
"네오없는네오팀", "KR"
"댕댕이는", "KR"
"인생의법칙", "KR"
"차무식", "KR"
"어디최씹니꺼", "KR"
"가베", "KR"
"호그와트", "KR"
"레번클로", "KR"
"후플푸프", "KR"
"티즐", "KR"
"민수야고맙다", "KR"
"이창호9단", "KR"
"뮤제로", "KR"
"미뇽신뇽망나뇽", "KR"
"바콩스튜디오", "KR"
"주디는사춘기", "KR"
"바콩", "KR"
"엠버", "KR"
"자이언트엠버", "KR"
"주끄레기", "KR"
"주빱", "KR"
"제리리루이스", "KR"
"월클펭구", "KR"
"바콩테일즈", "KR"
"인싸제프", "KR"
"잘생긴대니", "KR"
"인싸레이", "KR"
"환자쓰", "KR"
"대협", "KR"
"화럭몬", "KR"
"노잼맨", "KR"
"끄랑", "KR"
"레이니", "KR"
"은솔", "KR"
"뽀롱스", "KR"
"영원의수호자", "KR"
"유령수호자", "KR"
"성직자", "KR"
"비누방울", "KR"
"달달초코", "KR"
"무지개구름", "KR"
"윗허니", "KR"
"베리캔디", "KR"
"핑크팬덩", "KR"
"코코넛쉘", "KR"
"허니허니버터칩", "KR"
"스타트라이트", "KR"
"레드플레임", "KR"
"화이트스노우우", "KR"
"콜든메들링", "KR"
"실버링스피링", "KR"
"강은소리", "KR"
"스핏파이어", "KR"
"알뀨알리", "KR"
"목수88", "KR"
"예의바른별", "KR"
"대게걸", "KR"
"봇매아니", "KR"
"나야테", "KR"
"이세계라스", "KR"
"카이론페이크", "KR"
"강주디", "KR"
"바밤바밤", "KR"
"우리친구하자", "KR"
"나는아니다", "KR"
"파워나갈걸여", "KR"
"OLeeeep", "US"
"강은솔", "KR"
45146, "KR"
"쌀먹날먹", "KR"
"無雙", "TW"
"ミント春香", "JP"
"ピンクミミ", "JP"
"ゴールド太陽", "JP"
"シルバームーン", "JP"
"レッド桜", "JP"
"グリーン森", "JP"
"パープル薫", "JP"
"향기로운향기", "KR"
"달과태양과", "KR"
"태양우주달", "KR"
"천문학대학교", "KR"
"オレンジ夕焼け", "JP"
"ブラウンくま", "JP"
"イエロー花", "JP"
"シアン海", "JP"
"パステル星", "JP"
"ホワイト雪", "JP"
"グレイ狐", "JP"
"ピンクチェリー", "JP"
"ブラック影", "JP"
"ゴールデン龍", "JP"
"黄金虎", "TW"
"翠熊", "TW"
"赤鶴", "TW"
"青龍", "TW"
"白鹿", "TW"
"紫蝶", "TW"
"黑狼", "TW"
"紅鳳", "TW"
"橙兎", "JP"
"翡翠蛇", "TW"
"하다했다", "KR"
"PopPals", "US"
"JumpJive", "US"
"HopHaven", "US"
"점프집시", "KR"
"블래스터버디", "KR"
"플링프렌지", "KR"
"홉헤이븐", "KR"
"팝피즈", "KR"
"바운스버디즈", "KR"
"홉핑후리건즈", "KR"
"깜양", "KR"
"환정령", "KR"
"먼랑라이저", "KR"
"꺄응꺄응", "KR"
"투사매헌", "KR"
"팔라", "KR"
"마약겨드랑이", "KR"
"수제빙슈", "KR"
"츠사쿠", "KR"
"신픕", "KR"
"있슴", "KR"
"달러구트", "KR"
"민머리형제", "KR"
"한강물이차다", "KR"
"두루둥장", "KR"
"2번로또당첨", "KR"
"콘꺄", "KR"
"선택의순간마", "KR"
"o몬치치o", "KR"
"뉴비왔어연", "KR"
"상한물고기", "KR"
"공주잔다", "KR"
"Kings요원", "KR"
"단백질4kcal", "KR"
"재발사드세요", "KR"
"레몬밤a", "KR"
"룰루랄라흐", "KR"
"고기왕김고기", "KR"
"밈뮤뮴묘뮴", "KR"
"유기농낙타", "KR"
"키는커야좋다", "KR"
"감자칩와그작", "KR"
"뚱그리버드", "KR"
"짜잔돈까스", "KR"
"우럭우럭", "KR"
"우와겁나좋아", "KR"
"제땅입니다", "KR"
"비글미폭탄", "KR"
"기침하는보드", "KR"
"amazon하늘", "KR"
"꾸기누님", "KR"
"잡고말겠어", "KR"
"미녀요리l", "KR"
"돌담무늬나비", "KR"
"겜외않되지", "KR"
"코튼프리블", "KR"
"쌍문동쓰레빠", "KR"
"491일째연애", "KR"
"네번째날개", "KR"
"핑크핑크문어", "KR"
"마감의요정", "KR"
"한솔이아빠", "KR"
"이웃집유아", "KR"
"양심보다본능", "KR"
"즉사도안죽어", "KR"
"A신세계의신A", "KR"
"쿠쿠르치치오", "KR"
"마계곰도링", "KR"
"표리야", "KR"
"리멘조커", "KR"
"보톡스", "KR"
"치킨함먹어봐", "KR"
"룔하고싶다", "KR"
"얼죽아바라테", "KR"
"잡초", "KR"
"그저그런심판", "KR"
"많이지친다", "KR"
"고액연봉희망", "KR"
"15살입니다", "KR"
"체리즙향기", "KR"
"새도도새도도", "KR"
"블랙보리ii", "KR"
"모두의클래스", "KR"
"서형주", "KR"
"쉬운남자인데", "KR"
"억지로하나", "KR"
"라잇웨잇베베", "KR"
"걸크러쉬눈나", "KR"
"잉여20생활", "KR"
"나리찡", "KR"
"난못가너만와", "KR"
"용이될유산슬", "KR"
"노량진꿀버프", "KR"
"전역3일대기", "KR"
"09콩콩25", "KR"
"연초밥", "KR"
"대류불안정", "KR"
"칼이쓰마정이", "KR"
"지존댜슬", "KR"
"착호갑", "KR"
"우악우억으악", "KR"
"야냐뇨", "KR"
"음질개구리", "KR"
"깍둑썰기장인", "KR"
"모카는커피", "KR"
"리얼딸기I스", "KR"
"뭘로할지의문", "KR"
"통나무이글루", "KR"
"해군640기", "KR"
"이슬톡톡k", "KR"
"모찌맛찹쌀떡", "KR"
"Elvebril", "US"
"Aithne", "US"
"Alaryan", "US"
"Asiwen", "TW"
"Lillena", "US"
"Batina", "US"
"Futh", "US"
"Gwoi", "US"
"Trumylar", "US"
"Naruuna", "US"
"Yruryn", "US"
"Eowan", "US"
"Udildor", "US"
"Flariny", "US"
"Glubur", "US"
"Kaobwyn", "US"
"Crorena", "US"
"Nylan", "US"
"Yrercyn", "US"
"Takar", "US"
"Kobur", "US"
"Elramir", "US"
"Rumali", "US"
"Uniomir", "US"
"Srith", "US"
"Galia", "US"
"Selia", "US"
"Rallane", "US"
"Galundra", "US"
"Codor", "US"
"Heaveth", "US"
"Eragor", "US"
"Elrar", "US"
"Janoic", "US"
"Cullyra", "US"
"Bromel", "US"
"Ladar", "US"
"Gusil", "US"
"Zizan", "US"
"Unilir", "US"
"Gognus", "US"
"Sibor", "US"
"Cabina", "US"
"Rondra", "US"
"Fypina", "US"
"Gronba", "US"
"Axio", "US"
"Rangi", "US"
"Belania", "US"
"Glyniel", "US"
"Elynd", "US"
"Dulir", "US"
"Elirekon", "US"
"Fromawyr", "US"
"Ali", "US"
"Mibor", "US"
"Frarona", "US"
"Cuc", "US"
"Vemor", "US"
"Binguni", "US"
"Sorfin", "US"
"Vadia", "US"
"Takoja", "US"
"Hellona", "US"
"Ysyvya", "US"
"Tinalia", "US"
"Luthien", "US"
"Zernaz", "US"
"Podien", "US"
"Pang", "US"
"Thiarith", "US"
"Sifur", "US"
"Dellana", "US"
"Kremar", "US"
"Belen", "US"
"Brabona", "US"
"Gloldor", "US"
"Madaw", "US"
"Pigojar", "US"
"Cok", "US"
"Rhired", "US"
"Memer", "US"
"신명나는라디오", "KR"
"에이컨즈", "KR"
"니모", "KR"
"해머", "KR"
"제이크", "KR"
"케이건", "KR"
"크로머", "KR"
"호이", "KR"
"스미스", "KR"
"베에인", "KR"
"9494대장", "KR"
"1신기루1", "KR"
"일타강4", "KR"
"프르피나", "KR"
"핀볼", "KR"
"페인트마인", "KR"
"신규유저", "KR"
"신입", "KR"
"보기조음", "KR"
"fillane", "US"
"pointdown", "US"
"andend", "US"
"하입보잉", "KR"
"휴개발", "KR"
"줄담", "KR"
"단백질헬창", "KR"
"에임비버", "KR"
"예쓰봇", "KR"
"세분네분", "KR"
"진성초13", "KR"
"태달덱", "KR"
"창시자", "KR"
"치킨쿤", "KR"
"초록괴물", "KR"
"콩쥐들쥐", "KR"
"요조숙녀", "KR"
"빛과송금", "KR"
"벼락식혜", "KR"
"슈퍼마리옹", "KR"
"흔들린우동", "KR"
"피구왕현무", "KR"
"엔지나씀", "KR"
"가불위기", "KR"
"아기나발루", "KR"
"짱구는목말러", "KR"
"명사삼각", "KR"
"인공주", "KR"
"에메랄드머신", "KR"
"아이스초코", "KR"
"비타천백", "KR"
"햇님달님", "KR"
"베타고", "KR"
"렛잇고레릿고", "KR"
"양재동사람", "KR"
